item_id,timestamp,product_price,product_stock_level
PROD1,2010-01-08,70.9,57
PROD2,2010-01-10,73.7,55
PROD3,2010-01-11,51.6,85
PROD4,2010-01-29,95.0,68
PROD5,2010-01-29,83.7,92
PROD6,2010-02-01,73.1,62
PROD7,2010-02-02,66.2,74
PROD8,2010-02-25,44.5,32
PROD9,2010-02-26,25.3,49
PROD10,2010-03-03,30.8,85
PROD11,2010-03-05,32.1,21
PROD12,2010-03-06,90.7,18
PROD13,2010-03-07,81.0,18
PROD14,2010-03-13,66.6,40
PROD15,2010-03-14,50.7,87
PROD16,2010-03-25,45.8,86
PROD17,2010-04-09,10.7,57
PROD18,2010-04-16,66.9,57
PROD19,2010-04-21,57.2,56
PROD20,2010-04-25,92.4,54
PROD21,2010-04-27,5.1,81
PROD22,2010-05-01,90.8,22
PROD23,2010-05-01,98.7,45
PROD24,2010-05-03,10.5,84
PROD25,2010-05-11,99.1,66
PROD26,2010-05-11,78.1,21
PROD27,2010-05-12,15.0,39
PROD28,2010-05-18,33.7,97
PROD29,2010-05-19,58.6,18
PROD30,2010-05-20,25.6,63
PROD31,2010-05-25,19.4,39
PROD32,2010-05-27,19.3,27
PROD33,2010-05-29,43.2,72
PROD34,2010-06-11,15.5,18
PROD35,2010-06-14,65.2,68
PROD36,2010-06-18,35.8,64
PROD37,2010-06-18,28.7,82
PROD38,2010-06-24,88.0,51
PROD39,2010-07-17,19.9,45
PROD40,2010-07-23,17.8,85
PROD41,2010-07-25,55.7,52
PROD42,2010-08-02,18.2,39
PROD43,2010-08-07,80.0,66
PROD44,2010-08-07,58.0,13
PROD45,2010-08-09,35.1,15
PROD46,2010-08-11,66.2,70
PROD47,2010-08-12,36.0,17
PROD48,2010-08-14,25.7,8
PROD49,2010-08-25,89.2,42
PROD50,2010-08-30,94.8,57
PROD51,2010-09-01,88.2,74
PROD52,2010-09-03,96.1,74
PROD53,2010-09-09,83.7,66
PROD54,2010-09-14,63.4,96
PROD55,2010-09-16,33.3,86
PROD56,2010-09-20,16.7,7
PROD57,2010-09-22,81.6,61
PROD58,2010-09-29,29.4,81
PROD59,2010-10-06,40.2,79
PROD60,2010-10-16,6.4,39
PROD61,2010-10-17,69.6,8
PROD62,2010-10-25,21.7,23
PROD63,2010-10-28,20.0,20
PROD64,2010-10-29,11.4,26
PROD65,2010-10-31,57.0,84
PROD66,2010-11-04,67.3,12
PROD67,2010-11-10,30.1,63
PROD68,2010-11-13,43.6,51
PROD69,2010-11-16,48.6,93
PROD70,2010-11-24,56.1,19
PROD71,2010-11-26,4.6,28
PROD72,2010-11-27,35.4,88
PROD73,2010-12-04,62.3,24
PROD74,2010-12-12,76.0,67
PROD75,2010-12-18,83.7,93
PROD76,2010-12-27,87.0,96
PROD77,2010-12-27,19.0,80
PROD78,2010-12-28,14.6,55
PROD79,2011-01-01,30.1,94
PROD80,2011-01-09,91.0,62
PROD81,2011-01-11,89.1,21
PROD82,2011-01-12,2.2,67
PROD83,2011-01-15,31.8,65
PROD84,2011-01-18,87.9,56
PROD85,2011-01-27,78.8,32
PROD86,2011-01-29,67.6,2
PROD87,2011-01-30,72.6,21
PROD88,2011-01-30,57.1,53
PROD89,2011-02-15,36.0,91
PROD90,2011-02-17,83.1,29
PROD91,2011-02-21,76.5,98
PROD92,2011-02-22,92.6,41
PROD93,2011-02-24,72.3,6
PROD94,2011-02-24,68.3,20
PROD95,2011-02-25,34.1,31
PROD96,2011-02-27,55.4,34
PROD97,2011-03-10,51.3,68
PROD98,2011-03-10,1.2,94
PROD99,2011-03-17,55.5,80
PROD100,2011-03-17,52.8,22
PROD101,2011-03-20,77.0,64
PROD102,2011-03-21,14.9,69
PROD103,2011-03-21,15.6,70
PROD104,2011-03-26,99.2,0
PROD105,2011-03-29,94.7,64
PROD106,2011-04-02,25.4,10
PROD107,2011-04-19,91.5,10
PROD108,2011-05-03,24.6,83
PROD109,2011-05-10,63.5,51
PROD110,2011-05-11,68.5,76
PROD111,2011-05-12,52.8,67
PROD112,2011-05-15,40.6,39
PROD113,2011-05-23,69.0,75
PROD114,2011-05-25,3.9,64
PROD115,2011-05-26,64.4,37
PROD116,2011-05-31,13.2,33
PROD117,2011-06-12,98.9,23
PROD118,2011-06-19,5.7,70
PROD119,2011-06-21,98.5,17
PROD120,2011-06-23,11.1,83
PROD121,2011-06-30,65.2,22
PROD122,2011-07-04,59.4,51
PROD123,2011-07-08,42.8,43
PROD124,2011-07-11,5.2,97
PROD125,2011-07-13,13.4,16
PROD126,2011-07-29,71.3,5
PROD127,2011-08-05,75.2,30
PROD128,2011-08-06,95.4,56
PROD129,2011-08-07,18.2,15
PROD130,2011-08-09,78.8,29
PROD131,2011-08-10,10.3,98
PROD132,2011-08-12,23.9,16
PROD133,2011-08-13,95.8,91
PROD134,2011-08-13,91.9,54
PROD135,2011-08-14,83.3,6
PROD136,2011-08-22,26.0,45
PROD137,2011-08-22,74.4,35
PROD138,2011-08-25,62.6,86
PROD139,2011-08-28,53.3,91
PROD140,2011-09-04,26.9,77
PROD141,2011-09-04,77.0,72
PROD142,2011-09-08,2.8,48
PROD143,2011-09-09,26.9,33
PROD144,2011-09-11,6.9,30
PROD145,2011-09-29,45.5,100
PROD146,2011-10-01,28.3,47
PROD147,2011-10-05,64.6,51
PROD148,2011-10-06,87.2,73
PROD149,2011-10-11,21.5,26
PROD150,2011-10-12,99.7,89
PROD151,2011-10-15,93.9,73
PROD152,2011-10-15,41.7,45
PROD153,2011-10-17,95.2,36
PROD154,2011-10-22,86.6,86
PROD155,2011-10-28,100.0,32
PROD156,2011-11-01,49.0,19
PROD157,2011-11-05,20.6,90
PROD158,2011-11-06,79.4,24
PROD159,2011-11-06,11.8,53
PROD160,2011-11-11,2.4,77
PROD161,2011-11-19,31.5,91
PROD162,2011-11-24,82.4,19
PROD163,2011-12-01,69.6,85
PROD164,2011-12-01,21.8,10
PROD165,2011-12-03,46.5,45
PROD166,2011-12-06,56.9,60
PROD167,2011-12-06,67.5,7
PROD168,2011-12-09,77.6,35
PROD169,2011-12-10,3.3,18
PROD170,2011-12-11,57.0,92
PROD171,2011-12-16,94.4,73
PROD172,2011-12-17,79.7,52
PROD173,2011-12-18,7.3,40
PROD174,2011-12-25,3.0,44
PROD175,2011-12-29,29.1,29
PROD176,2012-01-10,19.7,31
PROD177,2012-01-19,49.7,15
PROD178,2012-01-21,88.0,47
PROD179,2012-01-28,29.0,93
PROD180,2012-02-02,29.5,69
PROD181,2012-02-02,88.9,14
PROD182,2012-02-05,68.1,54
PROD183,2012-02-06,91.8,47
PROD184,2012-02-14,18.1,61
PROD185,2012-02-27,86.2,88
PROD186,2012-03-06,71.2,8
PROD187,2012-03-14,25.9,73
PROD188,2012-03-16,12.3,83
PROD189,2012-03-28,54.8,35
PROD190,2012-03-30,33.0,36
PROD191,2012-04-03,11.3,43
PROD192,2012-04-12,74.6,99
PROD193,2012-04-16,97.4,56
PROD194,2012-04-17,63.8,48
PROD195,2012-04-20,58.2,43
PROD196,2012-04-24,63.4,25
PROD197,2012-04-26,27.4,97
PROD198,2012-05-01,14.2,14
PROD199,2012-05-14,91.4,62
PROD200,2012-05-14,24.9,8
PROD201,2012-05-16,34.7,100
PROD202,2012-05-16,85.6,13
PROD203,2012-05-18,53.1,55
PROD204,2012-05-18,25.4,28
PROD205,2012-05-21,7.4,3
PROD206,2012-05-21,90.8,47
PROD207,2012-05-22,42.8,74
PROD208,2012-06-05,5.8,72
PROD209,2012-06-08,64.9,48
PROD210,2012-06-11,49.3,0
PROD211,2012-06-13,82.6,6
PROD212,2012-06-22,80.6,10
PROD213,2012-07-01,13.4,51
PROD214,2012-07-02,63.4,6
PROD215,2012-07-08,76.5,59
PROD216,2012-07-13,44.5,40
PROD217,2012-07-29,78.4,52
PROD218,2012-08-05,8.1,62
PROD219,2012-08-17,49.8,78
PROD220,2012-08-18,94.6,33
PROD221,2012-08-28,20.0,8
PROD222,2012-08-28,18.1,66
PROD223,2012-09-01,48.2,71
PROD224,2012-09-05,10.1,46
PROD225,2012-09-09,28.7,5
PROD226,2012-09-10,80.4,5
PROD227,2012-09-11,2.4,19
PROD228,2012-09-15,96.0,85
PROD229,2012-10-05,49.8,35
PROD230,2012-10-18,48.2,58
PROD231,2012-10-19,38.9,90
PROD232,2012-10-22,80.1,70
PROD233,2012-10-29,86.5,62
PROD234,2012-11-02,40.3,60
PROD235,2012-11-04,75.7,64
PROD236,2012-11-08,95.8,86
PROD237,2012-11-22,30.2,63
PROD238,2012-11-24,17.4,91
PROD239,2012-12-01,24.6,5
PROD240,2012-12-07,49.3,47
PROD241,2012-12-10,64.8,27
PROD242,2012-12-13,6.9,77
PROD243,2012-12-13,3.6,47
PROD244,2012-12-14,75.6,13
PROD245,2012-12-14,76.7,89
PROD246,2012-12-15,54.7,54
PROD247,2012-12-19,39.1,5
PROD248,2012-12-31,65.5,77
PROD249,2013-01-20,12.1,42
PROD250,2013-01-21,99.9,24
PROD251,2013-01-22,79.0,54
PROD252,2013-01-29,83.9,16
PROD253,2013-02-02,79.5,72
PROD254,2013-02-05,56.4,100
PROD255,2013-02-05,15.8,20
PROD256,2013-02-08,80.5,65
PROD257,2013-02-09,76.1,54
PROD258,2013-02-10,74.5,86
PROD259,2013-02-14,69.5,85
PROD260,2013-02-16,47.5,82
PROD261,2013-02-16,42.1,76
PROD262,2013-02-17,12.6,21
PROD263,2013-02-17,59.1,37
PROD264,2013-02-20,43.4,67
PROD265,2013-02-21,92.3,0
PROD266,2013-02-21,33.5,10
PROD267,2013-02-21,80.2,71
PROD268,2013-02-28,50.3,85
PROD269,2013-03-02,21.9,39
PROD270,2013-03-03,26.9,3
PROD271,2013-03-04,97.2,90
PROD272,2013-03-11,59.8,53
PROD273,2013-03-23,61.1,18
PROD274,2013-03-24,89.3,50
PROD275,2013-03-29,55.9,76
PROD276,2013-03-31,70.7,95
PROD277,2013-04-01,72.1,21
PROD278,2013-04-05,25.8,80
PROD279,2013-04-07,34.2,89
PROD280,2013-04-14,18.1,60
PROD281,2013-04-19,42.7,58
PROD282,2013-05-04,75.1,98
PROD283,2013-05-07,57.9,30
PROD284,2013-05-17,17.9,89
PROD285,2013-05-27,78.3,69
PROD286,2013-05-29,3.2,46
PROD287,2013-06-02,12.5,82
PROD288,2013-06-03,52.1,56
PROD289,2013-06-05,77.6,60
PROD290,2013-06-07,88.6,94
PROD291,2013-06-10,87.7,8
PROD292,2013-06-11,77.3,98
PROD293,2013-06-16,88.9,53
PROD294,2013-06-19,14.0,7
PROD295,2013-06-24,79.1,70
PROD296,2013-06-25,92.8,38
PROD297,2013-07-03,75.4,76
PROD298,2013-07-03,10.9,53
PROD299,2013-07-13,74.5,15
PROD300,2013-07-15,83.6,47
PROD301,2013-07-23,45.5,23
PROD302,2013-07-23,67.7,14
PROD303,2013-07-31,83.8,45
PROD304,2013-08-07,36.5,95
PROD305,2013-08-18,74.4,18
PROD306,2013-08-19,53.0,69
PROD307,2013-08-20,25.2,42
PROD308,2013-08-24,93.5,82
PROD309,2013-08-25,18.0,4
PROD310,2013-08-25,86.8,16
PROD311,2013-08-26,77.7,82
PROD312,2013-08-28,72.4,76
PROD313,2013-09-04,6.7,49
PROD314,2013-09-07,98.4,6
PROD315,2013-09-07,15.6,22
PROD316,2013-09-10,20.9,95
PROD317,2013-09-12,57.5,53
PROD318,2013-09-13,60.1,82
PROD319,2013-09-15,91.4,90
PROD320,2013-09-25,31.1,55
PROD321,2013-09-25,8.3,68
PROD322,2013-09-29,56.6,71
PROD323,2013-09-29,44.7,78
PROD324,2013-10-01,84.6,77
PROD325,2013-10-07,24.7,70
PROD326,2013-10-07,32.7,79
PROD327,2013-10-10,54.6,49
PROD328,2013-10-12,11.0,51
PROD329,2013-10-14,22.5,67
PROD330,2013-10-15,86.9,20
PROD331,2013-10-15,46.5,80
PROD332,2013-10-21,44.2,29
PROD333,2013-10-21,22.2,51
PROD334,2013-10-31,18.1,57
PROD335,2013-11-04,55.3,31
PROD336,2013-11-09,91.4,18
PROD337,2013-11-12,74.2,64
PROD338,2013-11-12,57.7,88
PROD339,2013-11-26,55.2,84
PROD340,2013-12-09,33.1,52
PROD341,2013-12-16,58.7,52
PROD342,2013-12-16,88.3,55
PROD343,2013-12-20,73.3,61
PROD344,2013-12-23,19.7,85
PROD345,2013-12-25,98.8,39
PROD346,2013-12-28,34.7,90
PROD347,2014-01-02,87.6,20
PROD348,2014-01-08,67.2,39
PROD349,2014-01-08,99.2,99
PROD350,2014-01-09,32.9,92
PROD351,2014-01-12,53.6,81
PROD352,2014-01-23,18.0,75
PROD353,2014-01-26,49.4,80
PROD354,2014-02-06,21.6,3
PROD355,2014-02-08,50.9,65
